Name,ItemName,Category,DetailType,Damage,Hp,CrtRate,DodgeRate,MoveSpeed,AbilityType,AbilityValue,Grade,FromMonster,ResellPrice,Price,isSellable,isBuyable
1,BirdGun,weapon,bow,5,0,0,0,0,?,?,1,1,100,200,1,1
2,PulseGun,weapon,bow,15,0,0.05,0,0,?,?,2,1,400,800,1,1
3,Positron,weapon,bow,30,0,0.1,0,0,?,?,3,1,750,1500,1,1
4,PracSword,weapon,sword,8,0,0,0,0,?,?,1,1,100,200,1,1
5,PulseSword,weapon,sword,20,0,0,0,0,?,?,2,1,400,800,1,1
6,EnergySword,weapon,sword,40,0,0,0,0,?,?,3,1,750,1500,1,1
10,AlloyHelmet,armor,helmet,0,0,0.03,0.03,0,?,?,1,1,150,300,1,1
11,EnhanceHelmet,armor,helmet,0,0,0.08,0.07,0,?,?,2,1,500,1000,1,1
12,TitanChest,armor,chest,0,30,0,0,10,?,?,1,1,150,300,1,1
13,EnhanceChest,armor,chest,0,80,0,0,25,?,?,2,1,500,1000,1,1
14,Suit,armor,chest,0,50,0.07,0.05,15,?,?,4,0,750,1500,1,1
15,TUClothes,armor,chest,0,100,0.1,0.1,50,?,?,4,0,1000,2000,1,1
20,HpKit_low,useable,consumable,?,?,?,?,,recove,100,1,1,?,?,0,0
21,HpKit_mid,useable,consumable,?,?,?,?,,recove,200,2,1,?,?,0,0
22,HpKit_high,useable,consumable,?,?,?,?,,recove,300,3,1,?,?,0,0
23,Coffee,useable,consumable,?,?,?,?,,recove,200,4,0,50,100,1,1
24,Ddalba,useable,consumable,?,?,?,?,,atc_buff,50,4,0,100,200,1,1
25,Mangba,useable,consumable,?,?,?,?,,atc_buff,100,4,0,150,300,1,1
26,Exp_low,unuseable,EXP,?,?,?,?,?,EXP,20,1,1,?,?,0,0
26,Gold_low,useable,Gold,?,?,?,?,?,Gold,100,1,1,?,?,0,0
27,Gold_mid,useable,Gold,?,?,?,?,?,Gold,200,2,1,?,?,0,0
28,Gold_high,useable,Gold,?,?,?,?,?,Gold,300,3,1,?,?,0,0
50,Key,unuseable,Quest,?,?,?,?,?,?,?,0,1,?,?,0,0
51,Document,unuseable,Quest,?,?,?,?,?,?,?,1,1,?,?,0,0
