idx,name,skil_group,skill_lv,cooltime,skill_type_00,skill_value_00,skill_type_01,skill_value_01
1,HitHard,1,1,10,atk,150,?,?
2,HitHard,1,2,9,atk,175,?,?
3,HitHard,1,3,8,atk,200,?,?
4,Clash,2,1,15,atk,175,dash,2
5,Clash,2,2,13,atk,200,dash,3
6,Clash,2,3,11,atk,225,dash,4
7,Whirlwind,3,1,20,atk,200,range_atk,2
8,Whirlwind,3,2,18,atk,225,range_atk,3
9,Whirlwind,3,3,15,atk,250,range_atk,4
10,Throwing,4,1,12,atk,200,?,?
11,Throwing,4,2,10,atk,250,?,?
12,Throwing,4,3,8,atk,300,?,?
13,FThrowing,5,1,18,atk,80,sector_atk,5
14,FThrowing,5,2,16,atk,90,sector_atk,7
15,FThrowing,5,3,14,atk,100,sector_atk,9
16,Anger,6,1,25,buff_time,3,atk_spd,50
17,Anger,6,2,22,buff_time,3,atk_spd,75
18,Anger,6,3,20,buff_time,4,atk_spd,100
